**** Startdate Starthour Enddate Endhour PLUME HEIGHT [km asl] (NB need to be on the exact same time resolution as the inversion runs)
20100414 030000 20100414 060000 2.500000
20100414 060000 20100414 090000 2.500000
20100414 090000 20100414 120000 7.400000
20100414 120000 20100414 150000 8.400000
20100414 150000 20100414 180000 6.800000
20100414 180000 20100414 210000 5.600000
20100414 210000 20100415 000000 5.100000
20100415 000000 20100415 030000 5.300000
20100415 030000 20100415 060000 5.200000
20100415 060000 20100415 090000 5.300000
20100415 090000 20100415 120000 5.700000
20100415 120000 20100415 150000 2.500000
20100415 150000 20100415 180000 3.000000
20100415 180000 20100415 210000 2.500000
20100415 210000 20100416 000000 2.500000
20100416 000000 20100416 030000 3.700000
20100416 030000 20100416 060000 3.600000
20100416 060000 20100416 090000 4.600000
20100416 090000 20100416 120000 5.500000
20100416 120000 20100416 150000 4.600000
20100416 150000 20100416 180000 5.500000
20100416 180000 20100416 210000 5.700000
20100416 210000 20100417 000000 6.600000
20100417 000000 20100417 030000 6.900000
20100417 030000 20100417 060000 6.600000
20100417 060000 20100417 090000 6.700000
20100417 090000 20100417 120000 5.400000
20100417 120000 20100417 150000 5.100000
20100417 150000 20100417 180000 5.000000
20100417 180000 20100417 210000 5.500000
20100417 210000 20100418 000000 5.200000
20100418 000000 20100418 030000 5.100000
