**** Startdate Starthour Enddate Endhour PLUME HEIGHT [km asl] (NB need to be on the exact same time resolution as the inversion runs)
20180109 030000 20180109 060000 0.0
20180109 060000 20180109 090000 0.0
20180109 090000 20180109 120000 0.0
20180109 120000 20180109 150000 0.0
20180109 150000 20180109 180000 0.0
20180109 180000 20180109 210000 0.0
20180109 210000 20180110 000000 1.9
20180110 000000 20180110 030000 1.9
20180110 030000 20180110 060000 1.9
20180110 060000 20180110 090000 1.9
20180110 090000 20180110 120000 7.7
20180110 120000 20180110 150000 7.7
20180110 150000 20180110 180000 7.7
20180110 180000 20180110 210000 7.7
20180110 210000 20180111 000000 7.7
