   555.000  650.000  1300.00  1950.00  2600.00  3250.00  3900.00  4550.00  5200.00  5850.00  6500.00  7150.00  7800.00  8450.00  9100.00  9750.00  10400.0  11050.0  11700.0 
   650.000  1300.00  1950.00  2600.00  3250.00  3900.00  4550.00  5200.00  5850.00  6500.00  7150.00  7800.00  8450.00  9100.00  9750.00  10400.0  11050.0  11700.0  12350.0 
20100414 060000    109045    6000      1142      7810      7743      6509      6509      6509      6509     21120     23431     15420      6343         0         0         0         0         0         0         0         0 
20100414 060000    109045    6000      7624      7810      7743      7559     10178     17319     20617     22873     23431     22873     19214     12645      7431      4371      3672      2158       520         2         2 
20100414 090000    109045    6000      1142      7810      7743      6509      6509      6509      6509     21120     23431     15420      6343         0         0         0         0         0         0         0         0 
20100414 090000    109045    6000     11981     13406     13774     14110     14716     17319     20617     22873     23431     22873     19214     18268     21747     22278     22549     22012     18869     15851      9315 
20100414 120000    118400    6000       414      5258      6254      7132      8258     10073     13179     13560      8592      9026     10011     13794     12849         0         0         0         0         0         0 
20100414 120000    118400    6000     30700     34353     35295     36156     37710     39089     40042     41092     42248     43278     42489     46812     55727     57086     57782     56406     48352     40617     23869 
20100414 150000    752916   11000      3387     35219     39409     40490     41406     43261     44843     45766     47141     48466     46465     48743     52338     63930     64709     55469     31875         0         0 
20100414 150000    752916   11000     34381     38471     39526     40490     42231     43775     44843     46018     47312     48466     47583     52424     62408     63930     64709     63168     54148     45486     26730 
20100414 180000    454339   11000      1958     20847     23491     24378     25259     26814     28256     29794     30644     30329     31112     29451     29622     27570     32759     40639     21419         0         0 
20100414 180000    454339   11000     30700     34353     35295     36156     37710     39089     40042     41092     42248     43278     42489     46812     55727     57086     57782     56406     48352     40617     23869 
20100414 210000     48856    8000       236      3264      4028      4723      5606      7333     12030     11636         0         0         0         0         0         0         0         0         0         0         0 
20100414 210000     48856    8000     18173     20477     21250     22018     23373     24631     25971     26712     27363     27120     27782     27120     26451     29758     35425     36289     35425     29758     17487 
20100415 000000     71191    8000       352      4724      5771      6736      7828      9779     15281     18425      2295         0         0         0         0         0         0         0         0         0         0 
20100415 000000     71191    8000      7092      7991      8293      8592     12531     15109     17986     18425     17986     15109     10842     10584     10322     11613     13824     14162     13824     11613      6824 
20100415 030000     66935    6000       310      4167      5106      6050      7286      9630     15024     17617      1747         0         0         0         0         0         0         0         0         0         0 
20100415 030000     66935    6000      4226      5031      5975      7897     12320     14666     17197     17617     17197     14446      8489      2047       238         2         2         2         2         2         2 
20100415 060000     47481    6000       253      3477      4344      5306      6865      8453     10061      8722         0         0         0         0         0         0         0         0         0         0         0 
20100415 060000     47481    6000      3739      4451      5629      7051     11001     13096     15356     15731     15356     12900      7581      1828       181         2         2         2         2         2         2 
20100415 090000     51669    6000       249      3392      4215      5061      5480      6904      9485     16151       731         0         0         0         0         0         0         0         0         0         0 
20100415 090000     51669    6000      3457      4150      5027      6190      7783     13244     15766     16151     15766     13244      7783      1877       395         2         2         2         2         2         2 
20100415 120000     49513    6000       179      2461      3046      3634      4519      6215      9257     16397      3805         0         0         0         0         0         0         0         0         0         0 
20100415 120000     49513    6000      3087      3706      4412      5096      7902     13446     16007     16397     16007     13446      7902      1906       442         2         2         2         2         2         2 
20100415 150000     21352    4600       161      2289      2897      3619      5798      3072      3516         0         0         0         0         0         0         0         0         0         0         0         0 
20100415 150000     21352    4600      2376      2968      4754      5660      7056     12007     14293     14642     14293     12007      7056      1702       395         2         2         2         2         2         2 
20100415 180000     24187    4600       341      2332      2103      1943      1943      4363      6996      4126        40         0         0         0         0         0         0         0         0         0         0 
20100415 180000     24187    4600      2276      2650      4245      5054      5737      6829      6996      6829      5737      4686      2754       664       154         2         2         2         2         2         2 
20100415 210000     11963    5500        81      1166      1604      2223      2501      2369      2018         0         0         0         0         0         0         0         0         0         0         0         0 
20100415 210000     11963    5500      2033      2082      2170      3195      5123      6098      6247      6098      5123      3021      1775       428         4         2         2         2         2         2         2 
20100416 000000      8217    5500        50       721      1039      1435      1331      1884      1426       329         0         0         0         0         0         0         0         0         0         0         0 
20100416 000000      8217    5500      1175      1628      1938      2180      3006      3578      3666      3578      3006      1766       693       167         2         2         2         2         2         2         2 
20100416 030000     13746    5500        73      1055      1346      1674      1860      2576      4105      1057         0         0         0         0         0         0         0         0         0         0         0 
20100416 030000     13746    5500      1914      2410      3494      4159      4261      4415      4522      4415      3708      2179       526       123         2         2         2         2         2         2         2 
20100416 060000     20471    5500       145      2066      2614      3292      4771      2519      5064         0         0         0         0         0         0         0         0         0         0         0         0 
20100416 060000     20471    5500      2182      2699      3913      4658      6825      8125      8323      8125      6825      4011      1059       255        52         2         2         2         2         2         2 
20100416 090000     30008    7500       171      2392      2980      3619      5012      5085      9321      1428         0         0         0         0         0         0         0         0         0         0         0 
20100416 090000     30008    7500      2444      2968      4110      5088      7643      9099      9321      9099      7643      4619      2715       655       133         2         2         2         2         2         2 
20100416 120000     39964    7500       190      2637      3300      4041      5031      6948     10223      6308      1286         0         0         0         0         0         0         0         0         0         0 
20100416 120000     39964    7500      2706      3314      4126      5698      8383      9979     10223      9979      8383      5339      3138       757       149         2         2         2         2         2         2 
20100416 150000     33152    7500       160      2225      2790      3594      3630      5012      8450      7292         0         0         0         0         0         0         0         0         0         0         0 
20100416 150000     33152    7500      4186      4827      5166      5422      7485      8911      9128      8911      8473      8680      8473      7740      7556      6347      3730       900       172         2         2 
20100416 180000     41296    7500       228      3153      3829      4377      5143      6516      8890      8701       459         0         0         0         0         0         0         0         0         0         0 
20100416 180000     41296    7500     10727     12370     13238     13894     15004     16352     18560     20633     21712     22241     21712     19834     19362     16264      9558      2305       440         2         2 
20100416 210000    213397    7500      1036     12305     14190     15187     15939     17213     18759     21292     23670     24908     22447     22212      4240         0         0         0         0         0         0 
20100416 210000    213397    7500     12012     13852     14825     15560     16803     18312     20785     23106     24315     24908     24315     22212     21683     18214     10704      2581       493         2         2 
20100417 000000    145068    7500       749      8955     10493     11374     12019     12975     14364     18063     15084      8891     10755     19880      1465         0         0         0         0         0         0 
20100417 000000    145068    7500     10727     12370     13238     13894     15004     16352     18560     20633     21712     22241     24030     24616     24030     20185     11862      4125       995         2         2 
20100417 030000    177378    8500       909     10551     12186     13164     13953     15002     16083     17731     15859     14719     17511     27566      2143         0         0         0         0         0         0 
20100417 030000    177378    8500     14087     15980     16971     17849     19120     20230     20724     20977     23029     27415     28083     27566     26910     22605     17989     10571      2549         2         2 
20100417 060000    279280    8500      1440     16161     18332     19469     20476     21934     23208     23463     24065     24267     31450     30446     24567         0         0         0         0         0         0 
20100417 060000    279280    8500     15776     17896     19006     19989     21412     22655     23208     23492     25790     30701     31450     30701     29722     24967     20146     11839      2855         2         2 
20100417 090000    225145    8500      1081     12503     14336     15494     16641     18216     20148     19706     21037     19306     24486     22463     19730         0         0         0         0         0         0 
20100417 090000    225145    8500     14087     15980     16971     17849     19120     20230     20724     20977     23029     27415     28083     27415     26540     22294     17989     10571      2549         2         2 
20100417 120000    109986    8500       473      5937      7050      7989      8897     10019     11593     12424     12418     12469     10993      8521      1203         0         0         0         0         0         0 
20100417 120000    109986    8500     10898     12497     13506     14505     15879     17563     17991     18338     18785     21344     21865     21344     19580     17198     14447      8490      2047         2         2 
20100417 150000    116478    8500       491      6174      7319      8251      9249     10789     13580     14322     13933     12516     10756      9097         0         0         0         0         0         0         0 
20100417 150000    116478    8500      6306      7436      8328      9343     11458     13640     14521     14875     14521     13983     13175     12243     10285      8316      5638      3313       799         2         2 
20100417 180000    138044    8500       581      7234      8531      9554     10718     12564     15647     16658     16041     15114     14045     11357         0         0         0         0         0         0         0 
